,id_fifa,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating,goles
0,236295,Aaron Ciammaglichella,5,Torino,Ita,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0
1,189615,Aaron Cresswell,5,West Ham,Ing,34,4,26,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.04,-0.04,0.14,1,0.04,6.08,0
2,188621,Aaron Meijers,5,RKC Waalwijk,Ned,37,8,516,0.3,0.5,0.0,0.6,0.1,0.0,0.4,0.11,-0.11,0.02,2,0.06,6.06,0
3,233934,Aaron Ramsdale,0,Southampton,Ing,26,9,810,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.56,0
4,229880,Aaron Wan-Bissaka,5,West Ham,Ing,26,10,815,0.3,0.8,1.8,0.4,0.1,0.9,0.9,0.08,-0.08,0.01,3,0.03,6.82,0
5,236295,Aarón Escandell,0,Granada,Esp,29,5,284,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.27,0
6,236295,Aarón Martín,5,Genoa,Ita,27,11,921,0.8,1.9,0.4,0.9,0.1,0.3,0.5,0.42,-0.42,0.04,9,0.05,6.71,0
7,246790,Abakar Sylla,2,Strasbourg,Fra,21,10,586,0.5,0.0,0.2,0.4,0.0,0.3,0.3,0.53,0.47,0.08,5,0.11,6.39,1
8,247180,Abdallah Sima,10,Brest,Fra,23,6,262,1.5,0.3,0.2,1.2,0.0,1.0,2.0,1.06,-1.06,0.36,9,0.12,6.4,0
9,247180,Abde Ezzalzouli,5,Barcelona,Esp,22,10,582,1.6,0.6,3.4,1.5,0.2,1.2,2.3,1.91,-0.91,0.3,16,0.12,6.94,1
10,247180,Abdou Harroui,5,Verona,Ita,26,6,288,1.2,0.2,0.5,0.2,0.0,1.2,1.2,0.93,0.07,0.29,7,0.13,6.41,1
11,247180,Abdoul Koné,2,Reims,Fra,19,2,110,0.0,0.0,0.5,1.0,0.0,0.5,2.0,0.0,0.0,0.0,0,0.0,6.46,0
12,247180,Abdoul Ouattara,5,Strasbourg,Fra,19,2,20,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,6.3,0
13,204826,Abdoulaye Bamba,5,Angers,Fra,34,4,251,0.0,0.5,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0,0.0,6.33,0
14,208135,Abdoulaye Doucouré,5,Everton,Ing,31,9,653,0.6,1.0,0.4,0.2,0.6,0.7,0.3,0.46,-0.46,0.06,5,0.09,6.52,0
15,247180,Abdoulaye Ndiaye,2,Brest,Fra,22,4,327,0.8,0.0,0.0,1.5,0.0,0.5,0.5,0.15,-0.15,0.04,3,0.05,6.7,0
16,210450,Abdoulaye Touré,2,Le Havre,Fra,30,11,900,1.5,0.3,0.4,1.4,0.0,1.2,0.9,3.2,-0.2,0.32,17,0.19,6.77,3
17,247180,Abdukodir Khusanov,2,Lens,Fra,20,10,706,0.5,0.1,0.0,0.2,0.0,0.1,0.5,0.21,-0.21,0.03,5,0.04,6.74,0
18,247180,Abdul Fatawu,5,Leicester,Ing,20,11,577,1.2,0.5,2.6,1.8,0.2,1.1,1.6,0.53,-0.53,0.08,13,0.04,6.96,0
19,202716,Abdón Prats,10,Mallorca,Esp,31,25,636,0.7,0.4,0.3,0.6,0.1,0.8,0.7,1.81,1.19,0.26,18,0.1,6.27,3
20,0,Abner Vinícius,5,Lyon,Fra,24,8,559,0.6,0.9,0.3,0.1,0.0,0.5,1.3,0.24,0.76,0.04,5,0.05,6.64,1
21,213661,Achraf Hakimi,5,PSG,Fra,26,9,759,1.3,3.0,0.9,0.9,0.6,0.9,1.2,1.19,-0.19,0.14,12,0.1,7.47,1
22,221841,Adam Armstrong,10,Southampton,Ing,27,8,456,1.6,0.4,0.1,0.3,0.3,1.1,0.8,1.17,-0.17,0.23,13,0.09,6.15,1
23,234396,Adam Aznou,2,Bayern,Ger,18,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.05,0
24,234396,Adam Dzwigala,2,St. Pauli,Ger,29,7,96,0.6,0.0,0.0,0.1,0.0,0.1,0.1,0.5,-0.5,0.47,4,0.13,6.17,0
25,234396,Adam Hlozek,10,Hoffenheim,Ger,22,9,549,2.0,0.8,1.0,1.2,0.1,1.4,1.6,2.18,-1.18,0.36,18,0.12,6.81,1
26,234396,Adam Kaied,10,NAC Breda,Ned,22,6,164,0.3,0.3,0.5,0.0,0.0,1.2,0.2,0.14,-0.14,0.08,2,0.07,6.24,0
27,234396,Adam Lallana,5,Southampton,Ing,36,7,280,0.4,0.4,0.6,0.7,0.0,0.9,1.1,0.17,-0.17,0.05,3,0.06,6.38,0
28,224031,Adam Marusic,5,Lazio,Ita,32,12,659,0.2,0.3,0.3,0.5,0.0,0.5,0.3,0.04,-0.04,0.01,2,0.02,6.49,0
