,nom_jugad,num_pos,equipo,liga,edad,apariciones_totales,min_jugados,tirosXp,pasesXp,regatesXp,faltadoXp,fuerajuegoXp,robadoXp,malcontroXp,goles_esperados,xGDiff,xG/90,total_disparos,xG/Shots,rating
576,Conrad Harder,10,Sporting,Por,19,6,188,2.2,0.5,0.5,0.8,0.2,0.7,0.3,1.02,1.98,0.49,13,0.08,6.98
2110,Martim Neto,5,Rio Ave,Por,21,6,365,0.3,0.8,1.2,0.5,0.0,0.7,1.2,0.08,0.92,0.02,2,0.04,6.65
2869,Ruben Loftus-Cheek,5,AC Milan,Ita,28,10,539,0.6,1.0,0.5,1.4,0.0,0.4,0.9,0.67,-0.67,0.11,6,0.11,6.53
2513,Odsonne Édouard,10,Leicester,Ing,26,4,26,0.0,0.3,0.3,0.0,0.0,0.5,1.8,0.3,-0.3,0.23,5,0.06,6.05
2751,Reda Belahyane,2,Verona,Ita,20,11,895,0.3,0.5,1.9,0.5,0.0,1.1,1.4,0.14,-0.14,0.01,3,0.05,6.44
3110,Taylor Harwood-Bellis,2,Southampton,Ing,22,11,861,0.8,0.5,0.1,0.4,0.0,0.3,0.4,1.58,-0.58,0.17,9,0.18,6.44
2451,Nicolás González,10,Juventus,Ita,26,4,226,0.5,0.8,0.5,1.5,0.0,1.0,1.0,0.05,-0.05,0.02,2,0.03,6.37
3013,Sergio Santos,2,Real Madrid,Esp,23,1,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.28
753,Diogo Jota,10,Liverpool,Ing,27,7,497,2.0,0.4,0.3,1.1,0.0,1.4,2.3,3.31,-1.31,0.6,14,0.24,6.86
3112,Telasco Segovia,5,Casa Pia AC,Por,21,9,399,0.7,0.1,0.6,0.8,0.0,1.0,0.4,0.42,-0.42,0.1,6,0.07,6.25
690,Davide Bartesaghi,2,AC Milan,Ita,18,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.02
823,Elves Baldé,5,Farense,Por,25,8,331,1.4,0.4,0.6,0.6,0.1,1.5,1.5,0.82,0.18,0.22,11,0.07,6.27
738,Diego López,0,Espanyol,Esp,43,36,3179,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.78
1473,John Mercado,10,AVS Futebol SAD,Por,22,10,722,1.7,1.0,1.3,0.6,0.2,1.2,1.9,1.72,-0.72,0.21,17,0.1,6.62
2551,Omari Forson,10,Monza,Ita,20,2,23,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0,0.0,6.02
848,Enes Mahmutovic,2,NAC Breda,Ned,27,2,37,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.62
3153,Tiago Djaló,2,Porto,Por,24,3,270,1.0,0.3,0.0,1.3,0.0,0.0,0.0,0.16,-0.16,0.05,3,0.05,6.68
