,goles
576,3
2110,1
2869,0
2513,0
2751,0
3110,1
2451,0
3013,0
753,2
3112,0
690,0
823,1
738,0
1473,1
2551,0
848,0
3153,0
1156,1
238,1
586,2
1471,0
2484,2
787,3
994,0
2574,1
3403,0
3088,0
3057,0
735,0
1244,0
2275,0
1988,1
293,0
564,1
565,0
1856,0
1175,0
2205,1
377,2
1117,0
3470,2
2700,4
704,2
2129,0
1774,0
3028,1
2839,1
1582,1
3363,0
1327,0
184,0
2926,8
1847,0
927,0
1013,0
922,0
3254,0
3294,0
3326,0
1507,0
2603,0
236,0
395,0
2120,0
2226,0
2657,1
2478,1
2624,0
378,0
2453,1
1681,1
2201,0
532,0
3137,1
2765,3
540,0
2695,3
226,0
996,0
3072,0
703,0
244,0
393,0
3120,0
297,0
2310,0
3364,6
819,0
1168,3
3411,0
441,0
2678,0
1135,0
2720,1
3458,12
2133,0
3065,0
1316,0
7,1
903,1
1475,0
1329,2
449,0
1341,0
2047,10
1415,0
2481,0
215,0
1181,1
1783,4
304,0
248,8
860,3
1178,1
108,1
1670,0
3003,1
1705,1
937,0
1366,0
1610,0
3328,2
3022,1
3301,3
1693,0
116,0
2599,4
1273,0
2291,2
2769,3
3310,0
1417,0
2917,0
2870,0
802,0
243,0
1746,1
1010,0
1626,0
2682,0
1870,0
1943,2
1123,0
2950,3
2443,0
1295,1
3307,2
2216,2
2174,1
1571,1
1139,0
2022,0
499,0
2851,7
1849,0
3178,0
1562,0
3038,0
1185,0
1951,1
1974,0
229,0
12,0
3371,0
456,1
2241,1
1171,0
2687,0
1611,0
799,0
3082,0
2759,2
1694,0
1748,1
2497,2
1971,2
551,0
697,1
642,0
3015,6
1285,0
2109,0
950,0
3221,0
561,0
1450,1
2068,0
616,0
3397,1
3177,0
1709,3
2318,0
925,0
3447,0
1753,0
138,0
1433,0
3155,0
237,4
881,0
3375,0
385,0
2391,0
3083,0
2213,0
2612,5
1869,0
279,0
3227,7
2676,3
2739,0
2789,1
2425,1
1212,18
2811,0
1515,0
1827,1
1980,0
3168,0
2710,0
490,0
497,0
2593,0
1263,0
3077,0
2856,0
412,0
3257,0
1296,0
2371,0
1272,0
2317,0
1099,0
1713,0
1044,2
63,1
2755,1
3171,6
2061,0
3484,0
1742,0
3417,2
2672,0
2419,0
710,0
1566,2
908,0
585,1
1489,6
3394,0
3180,0
2192,1
1151,2
3451,7
2829,0
1899,1
3095,0
1320,0
3361,2
3475,0
1575,0
2828,0
2084,0
2472,0
1158,2
1593,1
469,0
1109,0
254,2
3277,0
3244,0
121,0
2273,1
840,0
2417,0
179,4
309,0
2075,1
272,2
2398,0
2722,2
1914,1
825,2
846,2
1588,1
1603,1
2206,0
2986,0
2193,0
3255,0
2719,0
3103,2
1130,0
2138,0
1493,0
910,0
2025,0
2796,0
495,0
3401,1
2087,2
173,1
864,0
2295,0
2407,2
733,0
2085,0
1122,0
255,0
1089,1
2414,0
260,0
112,0
336,3
1800,0
1264,0
1883,1
3032,1
1152,0
281,2
1097,0
2038,0
211,5
2202,0
3386,0
2564,0
195,0
897,1
905,3
2702,6
1149,0
2752,0
1383,0
367,0
1289,0
1429,0
806,2
2859,0
715,0
521,0
865,0
2620,2
3223,1
1660,3
2850,1
592,0
1387,0
842,1
3159,0
2281,0
800,0
3370,0
2401,0
2748,1
1033,1
1634,0
1116,0
2293,1
3319,0
2460,2
1234,2
267,0
934,1
3010,0
1119,0
1500,0
3172,0
679,1
374,0
299,2
3420,1
2665,0
708,4
3408,1
1047,2
3297,0
973,3
3064,0
3023,4
3150,0
977,0
2121,0
685,2
1205,0
479,1
667,2
1490,1
1305,0
2995,3
1384,0
2982,3
1291,0
1533,1
380,0
663,1
2943,0
1846,0
2456,0
61,0
3284,17
3353,0
2552,0
2934,0
2134,0
2786,2
1516,1
2473,0
1878,0
1262,2
603,1
765,0
1199,0
458,1
700,0
3317,0
1858,0
3448,0
1543,14
1077,0
673,2
3432,0
596,0
3109,0
1720,1
1069,0
2137,0
3214,0
3206,0
3465,5
1811,2
474,0
550,0
633,1
1696,0
702,0
3466,1
1839,1
2351,1
1462,0
2053,0
683,0
3276,1
523,0
3304,0
2994,2
1703,0
2416,1
2251,12
1897,0
919,0
3131,0
573,0
3060,0
52,0
921,0
1150,2
777,0
1497,0
1572,1
2622,2
2278,0
2405,0
2469,0
2837,3
2602,1
1578,0
1553,1
1218,0
3050,2
2482,0
1397,1
3141,0
2908,0
318,0
1454,0
1460,0
1026,2
1448,0
1474,2
2091,1
376,1
1961,4
696,2
1280,0
1408,1
722,0
2860,4
1258,0
2111,0
1275,0
2771,6
1715,5
2616,0
845,0
3143,4
156,0
847,0
1898,6
2355,0
772,0
1622,0
1890,0
1431,1
1767,5
1311,0
668,1
440,1
1418,0
1404,0
2784,0
1393,3
1969,0
539,1
369,0
2567,3
2643,1
841,0
1797,0
324,0
3418,0
2059,0
717,2
2348,0
1790,0
1933,1
1795,0
95,0
2582,1
1009,3
1029,2
904,0
2854,3
2774,0
1416,0
1554,0
311,1
2454,1
1364,0
654,2
2363,3
982,0
1866,2
2360,1
1177,1
1166,0
2434,1
1584,8
883,0
2887,0
1072,0
3070,0
18,0
2204,4
1207,0
1479,0
2030,0
1982,0
1534,10
2235,1
3389,0
2008,0
3243,0
1339,4
2340,0
1680,0
1081,0
388,3
2988,0
2233,1
1964,0
1877,5
2812,1
2268,0
371,0
1057,1
1548,1
2125,0
1636,1
1394,1
125,0
1322,0
1227,0
1946,0
1301,0
1283,2
96,0
3429,0
721,0
1086,0
144,0
2770,0
1771,0
954,0
2747,0
328,0
414,0
